key,issuelink.id,type.id,type.name,type.inward,type.outward,inwardIssue.id,inwardIssue.key,inwardIssue.summary,inwardIssue.status.id,inwardIssue.status.name,inwardIssue.statusCategory.id,inwardIssue.statusCategory.key,inwardIssue.statusCategory.colorName,inwardIssue.statusCategory.name,inwardIssue.priority.id,inwardIssue.priority.name,inwardIssue.issuetype.id,inwardIssue.issuetype.description,inwardIssue.issuetype.name,inwardIssue.issuetype.subtask,outwardIssue.id,outwardIssue.key,outwardIssue.summary,outwardIssue.status.id,outwardIssue.status.name,outwardIssue.statusCategory.id,outwardIssue.statusCategory.key,outwardIssue.statusCategory.colorName,outwardIssue.statusCategory.name,outwardIssue.priority.id,outwardIssue.priority.name,outwardIssue.issuetype.id,outwardIssue.issuetype.description,outwardIssue.issuetype.name,outwardIssue.issuetype.subtask
FELIX-1367,12325770,10032,Blocker,is blocked by,blocks,12430648,FELIX-1366,Bundle classpath should verify that internal bundle classpath elements actually exist inside bundle before adding them to eclipse classpath,6,Closed,3,done,green,Done,4,Minor,1,A problem which impairs or prevents the functions of the product.,Bug,False,,,,,,,,,,,,,,,
FELIX-1367,12325779,10032,Blocker,is blocked by,blocks,12430709,FELIX-1374,Eclipse classpath container should honour fragment attachment rules when setting up accessibility rules,6,Closed,3,done,green,Done,4,Minor,1,A problem which impairs or prevents the functions of the product.,Bug,False,,,,,,,,,,,,,,,
GROOVY-2443,12419953,12310000,Duplicate,is duplicated by,duplicates,12814476,GROOVY-3178,Dont support method override in enum,6,Closed,3,done,green,Done,3,Major,1,A problem which impairs or prevents the functions of the product.,Bug,False,,,,,,,,,,,,,,,
GROOVY-2443,12420041,12310000,Duplicate,is duplicated by,duplicates,12814573,GROOVY-3408,Groovy does not support abstract methods in enums,6,Closed,3,done,green,Done,3,Major,1,A problem which impairs or prevents the functions of the product.,Bug,False,,,,,,,,,,,,,,,
GROOVY-2443,12419641,10001,dependent,is depended upon by,depends upon,,,,,,,,,,,,,,,,12812262,GROOVY-69,support inner classes (or at least nested classes),6,Closed,3,done,green,Done,3,Major,7,The sub-task of the issue,Sub-task,True
OPENEJB-840,12328948,12310000,Duplicate,is duplicated by,duplicates,12446062,OPENEJB-1161,javax.ejb.Startup,6,Closed,3,done,green,Done,3,Major,7,The sub-task of the issue,Sub-task,True,,,,,,,,,,,,,,,
MRM-735,12413284,12310051,Supercedes,is superceded by,supercedes,12788979,MRM-1025,remove the archiva database,6,Closed,3,done,green,Done,3,Major,3,A task that needs to be done.,Task,False,,,,,,,,,,,,,,,
IVY-1021,12323161,10030,Reference,is related to,relates to,12356932,IVY-325,declare source and javadoc artifacts in maven2 modules,5,Resolved,3,done,green,Done,3,Major,4,An improvement or enhancement to an existing feature or task.,Improvement,False,,,,,,,,,,,,,,,
HADOOP-6460,12328451,12310000,Duplicate,is duplicated by,duplicates,12410157,HADOOP-4802,RPC Server send buffer retains size of largest response ever sent ,5,Resolved,3,done,green,Done,3,Major,1,A problem which impairs or prevents the functions of the product.,Bug,False,,,,,,,,,,,,,,,
HADOOP-6460,12330350,10030,Reference,is related to,relates to,,,,,,,,,,,,,,,,12456739,HADOOP-6577,IPC server response buffer reset threshold should be configurable,6,Closed,3,done,green,Done,3,Major,1,A problem which impairs or prevents the functions of the product.,Bug,False
